Algorithm;Dmin;Dmax;Cost;Time;Dimension;Density;File;
ConvexSplits;1;7;8228216;0.00133426;7;30.2105;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_3_cos_like.txt
OneSideDimByDim;1;7;16346096;4.854e-06;7;30.2105;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_3_cos_like.txt
SplitsDimByDim;1;3;362161195;0.0149;7;36.2105;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_2_cos_like.txt
ConvexSplits;1;7;33073895;0.00151877;7;36.2105;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_2_cos_like.txt
OneSideDimByDim;1;7;33528804;3.881e-06;7;36.2105;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_2_cos_like.txt
SplitsDimByDim;1;3;21232022;0.0123943;7;27.5789;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_1_cos_like.txt
ConvexSplits;1;7;5576446;0.00154313;7;27.5789;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_1_cos_like.txt
OneSideDimByDim;1;7;5576566;3.859e-06;7;27.5789;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_1_cos_like.txt
SplitsDimByDim;1;3;88737163;0.0126556;7;30.6316;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_0_cos_like.txt
ConvexSplits;1;7;15566523;0.00153997;7;30.6316;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_0_cos_like.txt
OneSideDimByDim;1;7;15566680;4.434e-06;7;30.6316;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_7_0_cos_like.txt
SplitsDimByDim;1;3;448002944;0.0165391;8;28.6364;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_0_cos_like.txt
ConvexSplits;1;8;37205460;0.00260684;8;28.6364;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_0_cos_like.txt
OneSideDimByDim;1;8;37205508;4.995e-06;8;28.6364;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_0_cos_like.txt
SplitsDimByDim;1;3;464944778;0.0156431;8;36.0909;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_1_cos_like.txt
ConvexSplits;1;8;35194150;0.00227002;8;36.0909;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_1_cos_like.txt
OneSideDimByDim;1;8;35194195;4.779e-06;8;36.0909;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_1_cos_like.txt
SplitsDimByDim;1;3;1396127399;0.0170945;8;36.7273;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_2_cos_like.txt
ConvexSplits;1;8;59500757;0.0023659;8;36.7273;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_2_cos_like.txt
OneSideDimByDim;1;8;59500780;4.529e-06;8;36.7273;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_2_cos_like.txt
SplitsDimByDim;1;3;794638009;0.014947;8;36.5909;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_3_cos_like.txt
ConvexSplits;1;8;48770615;0.00248598;8;36.5909;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_3_cos_like.txt
OneSideDimByDim;1;8;48960383;4.887e-06;8;36.5909;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_3_cos_like.txt
SplitsDimByDim;1;3;675733415;0.0154063;8;36.3182;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_4_cos_like.txt
ConvexSplits;1;8;27139592;0.00227947;8;36.3182;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_4_cos_like.txt
OneSideDimByDim;1;8;27139767;5.689e-06;8;36.3182;/home/brice/Bureau/L3/OptiTenseurs/instances/trial_cos_like/instance_8_4_cos_like.txt
